La Liberté,782
La Gironde : journal de Bordeaux [puis hebdomadaire illustré du Sud-Ouest],556
Phare de la Loire : bulletin commercial et maritime de Nantes,544
"La France : politique, scientifique et littéraire / [rédacteur en chef : Léo de Saint-Poncy]",543
Journal des débats politiques et littéraires,484
"Le Sémaphore de Marseille : feuille commerciale, maritime, industrielle, d'annonces judiciaires et avis divers / rétablie et publiée par Ricard et Demonchy",453
Le Gaulois : littéraire et politique,449
La Presse,444
La Gazette de France,429
Le Français : journal du soir / rédacteur en chef : François Beslay,385
