Phare de la Loire : bulletin commercial et maritime de Nantes,39
"Le Sémaphore de Marseille : feuille commerciale, maritime, industrielle, d'annonces judiciaires et avis divers / rétablie et publiée par Ricard et Demonchy",35
La Gironde : journal de Bordeaux [puis hebdomadaire illustré du Sud-Ouest],24
Le Messager de Paris,5
Journal des débats politiques et littéraires,3
La Liberté,3
Le Rappel / directeur gérant Albert Barbieux,3
Annales de la Société d'horticulture de la Haute-Garonne,2
"Annuaire-almanach du commerce, de l'industrie, de la magistrature et de l'administration : ou almanach des 500.000 adresses de Paris, des départements et des pays étrangers : Firmin Didot et Bottin réunis",2
Le Petit moniteur universel : journal quotidien,2
